_id,ask,askhigh,asklow,balance,bank,basis,bid,bidhigh,bidlow,category,chart_mode,company,currency_base,currency_margin,currency_profit,custom,description,digits,equity,exchange,expiration_mode,expiration_time,filling_mode,formula,isin,last,lasthigh,lastlow,login,margin_hedged,margin_hedged_use_leg,margin_initial,margin_maintenance,name,option_mode,option_right,option_strike,order_gtc_mode,order_mode,page,path,point,price_change,price_greeks_delta,price_greeks_gamma,price_greeks_omega,price_greeks_rho,price_greeks_theta,price_greeks_vega,price_sensitivity,price_theoretical,price_volatility,select,server,session_aw,session_buy_orders,session_buy_orders_volume,session_close,session_deals,session_interest,session_open,session_price_limit_max,session_price_limit_min,session_price_settlement,session_sell_orders,session_sell_orders_volume,session_turnover,session_volume,spread,spread_float,start_time,swap_long,swap_mode,swap_rollover3days,swap_short,ticks_bookdepth,time,trade_accrued_interest,trade_calc_mode,trade_contract_size,trade_exemode,trade_face_value,trade_freeze_level,trade_liquidity_rate,trade_mode,trade_stops_level,trade_tick_size,trade_tick_value,trade_tick_value_loss,trade_tick_value_profit,visible,volume,volume_limit,volume_max,volume_min,volume_real,volume_step,volumehigh,volumehigh_real,volumelow,volumelow_real
6423c78ce9948d26a00a3c48,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,AngloGold Ashanti Limited,3,,,15,0,2,,US0351282068,0,0,0,,0,false,0,0,AU.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\AU.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c49,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Global Partners LP/MA,3,,,15,0,2,,US37946R1095,0,0,0,,0,false,0,0,GLP.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\GLP.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4a,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Allegheny Technologies,3,,,15,0,2,,US01741R1023,0,0,0,,0,false,0,0,ATI.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\ATI.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4b,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Delek US Holdings Inc,3,,,15,0,2,,US24665A1034,0,0,0,,0,false,0,0,DK.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\DK.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4c,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,H&R Block,3,,,15,0,2,,US0936711052,0,0,0,,0,false,0,0,HRB.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\HRB.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4d,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Washington Real Estate Investm,3,,,15,0,2,,US9396531017,0,0,0,,0,false,0,0,WRE.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\WRE.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4e,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Cinemark Holdings Inc,3,,,15,0,2,,US17243V1026,0,0,0,,0,false,0,0,CNK.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\CNK.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c4f,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Old Republic International Cor,3,,,15,0,2,,US6802231042,0,0,0,,0,false,0,0,ORI.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\ORI.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c50,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Palantir Technologies Inc,3,,,15,0,2,,US69608A1088,0,0,0,,0,false,0,0,PLTR.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\PLTR.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c51,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Radian Group Inc,3,,,15,0,2,,US7502361014,0,0,0,,0,false,0,0,RDN.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\RDN.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c52,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Essential Properties Realty Trust Inc,3,,,15,0,2,,US29670E1073,0,0,0,,0,false,0,0,EPRT.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\EPRT.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c53,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,"Eventbrite, Inc.",3,,,15,0,2,,US29975E1091,0,0,0,,0,false,0,0,EB.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\EB.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c54,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Box Inc,3,,,15,0,2,,US10316T1043,0,0,0,,0,false,0,0,BOX.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\BOX.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c55,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Matador Resources Co,3,,,15,0,2,,US5764852050,0,0,0,,0,false,0,0,MTDR.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\MTDR.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c56,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Pebblebrook Hotel Trust,3,,,15,0,2,,US70509V1008,0,0,0,,0,false,0,0,PEB.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\PEB.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
